State,Vehicle_Class,Vehicle_Category,Vehicle_Type,Month_Num,Year_Num,Predicted_EV_Sales,Month_Name
Andhra Pradesh,Cash Van,Bus,3W_Shared_Lowspeed,1,2035,81.52833333333332,January
Nagaland,Three Wheeler (Passenger),2-Wheelers,3W_Personal,11,2028,0.15,November
Bihar,Fire Fighting Vehicle,4-Wheelers,4W_Personal,10,2027,56.455,October
Arunachal Pradesh,Dumper,3-Wheelers,2W_Personal,9,2025,8.32,September
Arunachal Pradesh,Animal Ambulance,3-Wheelers,3W_Goods,2,2035,89.40466666666667,February
Himachal Pradesh,Motor Cycle/Scooter-Sidecar(T),3-Wheelers,4W_Personal,7,2033,18.07,July
Goa,Camper Van / Trailer,Bus,4W_Shared,1,2030,12.225,January
Uttarakhand,X-Ray Van,4-Wheelers,Institution Bus,12,2032,1.225,December
Delhi,Modular Hydraulic Trailer,Others,3W_Goods,10,2034,365.185,October
Nagaland,Vehicle Fitted With Generator,4-Wheelers,Bus,9,2026,0.02,September
Puducherry,Agricultural Tractor,Bus,Bus,3,2029,0.07,March
Himachal Pradesh,Bulldozer,2-Wheelers,4W_Personal,4,2028,8.07,April
Ladakh,Hearses,Others,2W_Personal,10,2029,73.395,October
Chandigarh,Animal Ambulance,3-Wheelers,Bus,3,2030,33.275,March
Mizoram,Luxury Cab,Bus,Institution Bus,8,2033,0.0,August
Nagaland,E-Rickshaw(P),Others,3W_Personal,3,2026,52.73,March
Mizoram,Excavator (Nt),Bus,2W_Shared,10,2026,10.275,October
Uttarakhand,E-Rickshaw With Cart (G),4-Wheelers,2W_Shared,8,2025,94.18,August
Arunachal Pradesh,Tower Wagon,2-Wheelers,4W_Personal,6,2026,7.995,June
Andaman & Nicobar Island,Trailer (Commercial),3-Wheelers,3W_Shared_Lowspeed,2,2028,7.446000000000001,February
West Bengal,Power Tiller,Others,Institution Bus,1,2030,0.225,January
Mizoram,Ambulance,3-Wheelers,4W_Shared,5,2026,6.515,May
Punjab,Modular Hydraulic Trailer,Others,3W_Shared,3,2029,45.64,March
Jharkhand,Tower Wagon,2-Wheelers,3W_Shared_Lowspeed,3,2032,165.465,March
Andaman & Nicobar Island,Trailer (Agricultural),2-Wheelers,4W_Shared,10,2032,1.17,October
Mizoram,Motor Cab,2-Wheelers,4W_Personal,3,2027,2.5,March
Tripura,Construction Equipment Vehicle (Commercial),Bus,4W_Shared,9,2028,1.615,September
Mizoram,Power Tiller (Commercial),2-Wheelers,2W_Shared,8,2025,0.58,August
Sikkim,Adapted Vehicle,4-Wheelers,3W_Shared_Lowspeed,9,2030,278.6,September
Jharkhand,Breakdown Van,3-Wheelers,4W_Shared,5,2032,31.71,May
Chhattisgarh,M-Cycle/Scooter-With Side Car,3-Wheelers,3W_Goods,7,2028,0.745,July
Haryana,Mobile Clinic,Bus,Institution Bus,5,2029,0.0,May
Ladakh,Trailer (Agricultural),3-Wheelers,4W_Personal,10,2032,141.235,October
Tamil Nadu,Animal Ambulance,4-Wheelers,2W_Shared,8,2031,514.36,August
Odisha,Motor Cab,4-Wheelers,3W_Goods_Lowspeed,1,2028,88.21754112554112,January
Punjab,Quadricycle (Commercial),Others,3W_Goods_Lowspeed,9,2033,58.76,September
Mizoram,Dumper,Bus,3W_Goods_Lowspeed,3,2031,5.395,March
Maharashtra,Vehicle Fitted With Compressor,Others,Bus,3,2031,0.0,March
Kerala,Armoured/Specialised Vehicle,4-Wheelers,3W_Shared,5,2031,441.26,May
Haryana,E-Rickshaw With Cart (G),3-Wheelers,4W_Shared,5,2034,132.35,May
Uttar Pradesh,Excavator (Commercial),3-Wheelers,4W_Shared,10,2029,8792.48,October
Maharashtra,Agricultural Tractor,3-Wheelers,3W_Shared,5,2025,180.355,May
Dnh And Dd,Crane Mounted Vehicle,Bus,2W_Personal,6,2032,80.45,June
Ladakh,Trailer (Commercial),3-Wheelers,3W_Goods_Lowspeed,11,2032,22.05,November
Odisha,Three Wheeler (Passenger),Bus,4W_Personal,11,2033,161.425,November
West Bengal,Semi-Trailer (Commercial),Bus,3W_Goods,12,2035,104.95,December
Chandigarh,Excavator (Commercial),3-Wheelers,3W_Goods_Lowspeed,6,2029,164.5125,June
Chandigarh,Power Tiller (Commercial),Others,2W_Shared,3,2025,55.39,March
Nagaland,Power Tiller (Commercial),Others,2W_Personal,4,2034,1.02,April
Dnh And Dd,Cash Van,4-Wheelers,3W_Shared_Lowspeed,1,2034,122.32458333333336,January
Andaman & Nicobar Island,Excavator (Nt),4-Wheelers,3W_Personal,1,2026,3.249166666666667,January
Nagaland,Luxury Cab,Bus,4W_Shared,10,2026,0.105,October
Maharashtra,Omni Bus (Private Use),2-Wheelers,2W_Shared,7,2025,7.32,July
Uttarakhand,Motor Car,Others,Bus,9,2031,0.85,September
Chhattisgarh,Trailer For Personal Use,3-Wheelers,4W_Shared,1,2029,113.25633333333334,January
Nagaland,Motor Cycle/Scooter-Used For Hire,3-Wheelers,2W_Shared,12,2035,0.01,December
West Bengal,Dumper,Bus,Others,8,2029,0.0,August
Puducherry,Semi-Trailer (Commercial),3-Wheelers,3W_Goods,11,2033,3.785,November
Ladakh,Moped,Bus,2W_Personal,9,2025,6.97,September
Punjab,Excavator (Nt),Others,3W_Shared_Lowspeed,2,2033,555.3179166666667,February
West Bengal,Maxi Cab,Others,Others,8,2032,0.0,August
Chandigarh,Library Van,Bus,2W_Shared,8,2025,126.63,August
Ladakh,Construction Equipment Vehicle (Commercial),4-Wheelers,3W_Goods,7,2032,4.83,July
Rajasthan,Motor Cycle/Scooter-Used For Hire,Bus,Others,2,2026,0.04,February
Dnh And Dd,Three Wheeler (Personal),4-Wheelers,3W_Goods_Lowspeed,6,2031,1.14,June
Uttarakhand,Luxury Cab,Others,Bus,1,2029,0.85,January
Gujarat,Excavator (Nt),3-Wheelers,3W_Goods_Lowspeed,4,2033,2646.7,April
Haryana,Trailer For Personal Use,4-Wheelers,Bus,4,2027,54.91,April
Ladakh,Tree Trimming Vehicle,4-Wheelers,3W_Goods_Lowspeed,4,2028,22.965,April
Chandigarh,Quadricycle (Private),Bus,2W_Personal,5,2027,50.275,May
Madhya Pradesh,Maxi Cab,4-Wheelers,4W_Personal,11,2031,143.255,November
Uttar Pradesh,Harvester,4-Wheelers,2W_Personal,12,2030,5061.635,December
Chhattisgarh,Road Roller,Others,Institution Bus,5,2034,0.005,May
Goa,Trailer (Agricultural),3-Wheelers,4W_Shared,5,2035,11.515,May
West Bengal,Luxury Cab,Others,3W_Shared_Lowspeed,2,2028,478.8783333333333,February
Uttar Pradesh,Animal Ambulance,3-Wheelers,2W_Personal,1,2027,1377.2284999999997,January
Andhra Pradesh,Breakdown Van,2-Wheelers,Others,1,2025,8.269666666666668,January
Rajasthan,Omni Bus (Private Use),Others,Bus,11,2030,0.0,November
Uttarakhand,Trailer (Agricultural),Others,3W_Goods,6,2028,36.715,June
Rajasthan,Motor Cycle/Scooter-Used For Hire,4-Wheelers,3W_Shared_Lowspeed,3,2034,285.18666666666667,March
Himachal Pradesh,Vehicle Fitted With Rig,Others,3W_Personal,3,2025,7.9,March
Odisha,Camper Van / Trailer (Private Use),Others,Bus,1,2027,0.9736309523809524,January
Uttar Pradesh,Motor Caravan,2-Wheelers,3W_Goods,11,2027,9.04,November
Dnh And Dd,Omni Bus,Bus,3W_Shared,4,2033,5.695,April
Chandigarh,Trailer (Agricultural),Others,Institution Bus,9,2033,0.0,September
Jammu And Kashmir,Motor Cycle/Scooter-Used For Hire,Bus,3W_Goods_Lowspeed,2,2030,8.3215,February
Bihar,Moped,2-Wheelers,3W_Personal,11,2029,56.555,November
West Bengal,M-Cycle/Scooter,3-Wheelers,Others,11,2025,439.04,November
Karnataka,Private Service Vehicle (Individual Use),Bus,Institution Bus,12,2030,0.04,December
Uttarakhand,Power Tiller (Commercial),2-Wheelers,3W_Shared_Lowspeed,11,2029,266.83,November
Puducherry,Camper Van / Trailer (Private Use),3-Wheelers,3W_Shared_Lowspeed,7,2026,9.555,July
Puducherry,Dumper,4-Wheelers,4W_Personal,8,2025,13.48,August
Uttar Pradesh,Construction Equipment Vehicle,Others,4W_Shared,10,2031,5.995,October
West Bengal,Motorised Cycle (Cc > 25Cc),4-Wheelers,Bus,3,2033,32.475,March
Madhya Pradesh,Mobile Clinic,3-Wheelers,Others,11,2025,94.02,November
Bihar,Excavator (Commercial),Bus,Others,9,2035,0.0,September
Maharashtra,E-Rickshaw With Cart (G),2-Wheelers,Bus,7,2029,112.78,July
Jharkhand,Educational Institution Bus,2-Wheelers,Bus,5,2026,404.705,May
Andaman & Nicobar Island,Dumper,Bus,Bus,2,2033,1.615,February
Uttar Pradesh,Tractor (Commercial),3-Wheelers,4W_Personal,7,2031,1353.786,July
Himachal Pradesh,Moped,2-Wheelers,3W_Goods,8,2033,2.535,August
Odisha,Breakdown Van,2-Wheelers,4W_Personal,5,2035,87.675,May
Goa,Semi-Trailer (Commercial),Others,3W_Shared_Lowspeed,7,2032,43.925,July
Jharkhand,Three Wheeler (Passenger),2-Wheelers,Others,9,2031,91.355,September
Delhi,Goods Carrier,Others,2W_Shared,2,2030,1507.52,February
Chhattisgarh,Omni Bus (Private Use),3-Wheelers,Institution Bus,5,2031,110.175,May
Tripura,Bulldozer,Others,Others,4,2029,0.0,April
Goa,Tree Trimming Vehicle,4-Wheelers,4W_Personal,8,2025,91.5,August
Arunachal Pradesh,Excavator (Nt),Others,3W_Shared_Lowspeed,12,2031,2.72,December
Odisha,Quadricycle (Commercial),4-Wheelers,Institution Bus,4,2032,0.915,April
Andhra Pradesh,Trailer (Commercial),3-Wheelers,Bus,6,2027,16.105,June
Himachal Pradesh,E-Rickshaw With Cart (G),4-Wheelers,2W_Personal,5,2032,13.42,May
Gujarat,Moped,4-Wheelers,3W_Personal,10,2028,515.815,October
Dnh And Dd,Quadricycle (Commercial),2-Wheelers,3W_Personal,11,2025,0.2,November
West Bengal,Omni Bus,Bus,4W_Personal,1,2028,149.53,January
West Bengal,Trailer (Agricultural),4-Wheelers,3W_Goods_Lowspeed,10,2026,96.415,October
Gujarat,Private Service Vehicle,Bus,Others,11,2027,0.01,November
Arunachal Pradesh,Motor Cycle/Scooter-With Trailer,Bus,3W_Personal,1,2029,2.713333333333334,January
Odisha,Auxiliary Trailer,Bus,3W_Goods,9,2031,96.09,September
Haryana,Goods Carrier,Bus,3W_Personal,9,2030,624.67,September
Himachal Pradesh,Omni Bus (Private Use),3-Wheelers,Bus,9,2027,8.01,September
Dnh And Dd,Mobile Clinic,4-Wheelers,2W_Shared,3,2031,1.345,March
Andaman & Nicobar Island,Road Roller,2-Wheelers,3W_Shared_Lowspeed,3,2028,8.35,March
Punjab,Motor Cycle/Scooter-With Trailer,Bus,Institution Bus,2,2032,7.106333333333335,February
Punjab,Three Wheeler (Goods),2-Wheelers,2W_Personal,10,2028,29.31,October
Meghalaya,Three Wheeler (Passenger),2-Wheelers,4W_Shared,5,2026,3.165,May
Jharkhand,Motor Caravan,3-Wheelers,4W_Personal,8,2025,101.075,August
Andaman & Nicobar Island,Educational Institution Bus,4-Wheelers,Bus,3,2027,0.69,March
Meghalaya,Cash Van,Bus,Others,9,2033,0.0,September
Madhya Pradesh,Harvester,2-Wheelers,3W_Personal,5,2027,2736.67,May
Goa,Harvester,4-Wheelers,2W_Personal,4,2026,348.77833333333336,April
Jammu And Kashmir,Power Tiller (Commercial),Bus,4W_Shared,11,2029,0.035,November
Odisha,Three Wheeler (Personal),2-Wheelers,4W_Personal,4,2026,81.02058333333333,April
Odisha,Snorked Ladders,2-Wheelers,3W_Goods_Lowspeed,8,2031,71.61,August
Tamil Nadu,Tree Trimming Vehicle,4-Wheelers,3W_Personal,7,2033,295.695,July
Andaman & Nicobar Island,M-Cycle/Scooter-With Side Car,3-Wheelers,3W_Goods_Lowspeed,7,2025,0.07,July
Karnataka,Excavator (Nt),4-Wheelers,3W_Shared,2,2033,356.1443095238095,February
Ladakh,Animal Ambulance,4-Wheelers,4W_Personal,9,2033,0.09,September
Tamil Nadu,Armoured/Specialised Vehicle,3-Wheelers,3W_Goods,11,2035,138.775,November
Arunachal Pradesh,Power Tiller (Commercial),4-Wheelers,4W_Personal,6,2026,3.05,June
West Bengal,Camper Van / Trailer,Bus,2W_Personal,4,2031,139.9,April
Dnh And Dd,Excavator (Nt),2-Wheelers,Institution Bus,1,2035,573.03,January
Meghalaya,X-Ray Van,Bus,Bus,3,2028,0.0,March
Ladakh,Tower Wagon,4-Wheelers,Bus,1,2026,0.675,January
Mizoram,Goods Carrier,Bus,4W_Shared,8,2026,0.02,August
Andhra Pradesh,Private Service Vehicle,Bus,3W_Goods_Lowspeed,1,2027,91.98833333333332,January
Andaman & Nicobar Island,Bulldozer,3-Wheelers,4W_Personal,12,2032,5.475,December
Uttar Pradesh,Private Service Vehicle,Others,4W_Personal,6,2031,408.79,June
Uttarakhand,Power Tiller,2-Wheelers,Institution Bus,4,2027,129.45,April
Kerala,Educational Institution Bus,4-Wheelers,3W_Goods,9,2027,1276.47,September
Manipur,Quadricycle (Private),Others,4W_Shared,10,2031,18.035,October
Sikkim,Quadricycle (Commercial),Others,3W_Shared,6,2034,41.015,June
Puducherry,Motor Car,Bus,3W_Goods,8,2029,6.865,August
Arunachal Pradesh,Private Service Vehicle (Individual Use),Others,3W_Shared_Lowspeed,4,2027,11.785,April
Karnataka,Excavator (Commercial),3-Wheelers,4W_Shared,9,2029,151.37,September
Uttarakhand,Excavator (Nt),4-Wheelers,Others,11,2028,1.015,November
Manipur,Articulated Vehicle,Others,Bus,4,2035,6.59,April
Andaman & Nicobar Island,Fork Lift,2-Wheelers,3W_Shared_Lowspeed,4,2030,4.205,April
Nagaland,Construction Equipment Vehicle,Others,Others,6,2034,0.0,June
Gujarat,Mobile Workshop,3-Wheelers,Institution Bus,2,2027,81.75666666666667,February
Karnataka,Three Wheeler (Goods),3-Wheelers,Institution Bus,8,2031,182.52,August
Madhya Pradesh,Recovery Vehicle,3-Wheelers,4W_Personal,9,2032,230.885,September
Arunachal Pradesh,Articulated Vehicle,Others,4W_Shared,12,2029,7.125,December
Haryana,Motor Cycle/Scooter-Sidecar(T),3-Wheelers,3W_Personal,7,2026,38.205,July
Goa,Private Service Vehicle (Individual Use),Bus,Bus,2,2031,0.1,February
West Bengal,Omni Bus (Private Use),Others,Bus,6,2031,0.03,June
Sikkim,M-Cycle/Scooter-With Side Car,2-Wheelers,4W_Shared,6,2035,55.825,June
Sikkim,Mobile Clinic,4-Wheelers,4W_Personal,1,2031,7.36,January
Gujarat,Auxiliary Trailer,4-Wheelers,Others,9,2027,0.54,September
Haryana,Motor Caravan,Bus,Bus,7,2030,0.0,July
Punjab,Motor Cycle/Scooter-Used For Hire,3-Wheelers,Others,9,2033,62.09,September
Delhi,Mobile Clinic,Bus,3W_Goods,1,2025,233.405,January
Kerala,Motorised Cycle (Cc > 25Cc),Bus,2W_Personal,2,2035,329.4425,February
Arunachal Pradesh,Trailer For Personal Use,Others,Bus,11,2031,0.0,November
Gujarat,Dumper,Others,4W_Shared,1,2027,21.846000000000004,January
Chhattisgarh,Motor Caravan,2-Wheelers,2W_Shared,4,2027,31.3,April
Madhya Pradesh,E-Rickshaw With Cart (G),3-Wheelers,3W_Goods_Lowspeed,6,2031,134.34,June
Rajasthan,Earth Moving Equipment,Bus,4W_Shared,12,2030,2.115,December
Jharkhand,Motor Cycle/Scooter-Used For Hire,2-Wheelers,3W_Shared_Lowspeed,9,2034,171.04,September
Uttarakhand,Trailer For Personal Use,4-Wheelers,3W_Shared,3,2034,154.54866666666666,March
Andhra Pradesh,Modular Hydraulic Trailer,Others,2W_Shared,8,2031,62.685,August
Arunachal Pradesh,Tower Wagon,3-Wheelers,2W_Shared,6,2025,15.1,June
Ladakh,Auxiliary Trailer,4-Wheelers,Bus,3,2029,9.845,March
Chandigarh,Trailer (Commercial),Bus,4W_Personal,5,2032,96.6,May
Puducherry,Road Roller,2-Wheelers,4W_Shared,11,2029,5.565,November
Uttarakhand,Tree Trimming Vehicle,4-Wheelers,Others,1,2026,1.3196428571428571,January
Uttar Pradesh,E-Rickshaw(P),Bus,2W_Shared,9,2030,7695.355,September
Sikkim,Earth Moving Equipment,4-Wheelers,2W_Personal,9,2029,630.485,September
Andhra Pradesh,Tractor-Trolley(Commercial),2-Wheelers,Institution Bus,7,2032,16.69,July
Odisha,Fork Lift,3-Wheelers,4W_Shared,4,2031,634.25,April
Nagaland,Construction Equipment Vehicle,4-Wheelers,Others,9,2031,0.02,September
Himachal Pradesh,Motorised Cycle (Cc > 25Cc),2-Wheelers,4W_Shared,1,2035,13.092333333333334,January
Andhra Pradesh,Motor Cycle/Scooter-With Trailer,Others,Others,2,2034,11.84095238095238,February
Punjab,M-Cycle/Scooter,4-Wheelers,Institution Bus,8,2028,0.325,August
Tripura,Fire Fighting Vehicle,Others,3W_Personal,7,2034,112.96,July
Jammu And Kashmir,Power Tiller (Commercial),Bus,Bus,6,2033,0.0,June
Haryana,Motor Car,2-Wheelers,Institution Bus,6,2026,98.64,June
Kerala,M-Cycle/Scooter,Others,Bus,10,2028,0.0,October
Meghalaya,Motor Cycle/Scooter-Used For Hire,3-Wheelers,Bus,9,2035,2.59,September
Madhya Pradesh,Mobile Canteen,Bus,Bus,6,2032,0.0,June
Manipur,Trailer (Agricultural),3-Wheelers,3W_Personal,1,2027,1.915,January
Andaman & Nicobar Island,E-Rickshaw(P),Bus,3W_Personal,4,2033,4.125,April
Assam,Auxiliary Trailer,2-Wheelers,Institution Bus,4,2033,161.33,April
Madhya Pradesh,Crane Mounted Vehicle,Others,3W_Personal,6,2026,135.7,June
Kerala,Excavator (Commercial),3-Wheelers,3W_Goods,11,2030,1988.0,November
Haryana,Mobile Clinic,4-Wheelers,Institution Bus,6,2026,33.21,June
Kerala,Harvester,3-Wheelers,4W_Shared,7,2028,892.365,July
Assam,Harvester,4-Wheelers,3W_Shared,10,2027,1824.42,October
Jharkhand,Bus,2-Wheelers,Others,11,2025,33.945,November
Jharkhand,Breakdown Van,Bus,Others,6,2029,0.0,June
Arunachal Pradesh,Trailer For Personal Use,4-Wheelers,4W_Shared,1,2035,0.17,January
Uttarakhand,Breakdown Van,4-Wheelers,2W_Shared,2,2028,89.50116666666666,February
Chhattisgarh,Bulldozer,2-Wheelers,Bus,1,2034,74.56083333333333,January
Goa,Mobile Workshop,Others,Bus,8,2031,0.005,August
Tamil Nadu,Crane Mounted Vehicle,4-Wheelers,4W_Personal,7,2032,604.155,July
Mizoram,Motor Cycle/Scooter-With Trailer,2-Wheelers,3W_Shared_Lowspeed,4,2026,1.845,April
Manipur,Mobile Clinic,Bus,4W_Personal,1,2029,6.201666666666667,January
Tripura,Private Service Vehicle,Others,4W_Shared,8,2034,3.865,August
Mizoram,Agricultural Tractor,3-Wheelers,Institution Bus,7,2035,6.64,July
Gujarat,Construction Equipment Vehicle (Commercial),2-Wheelers,3W_Shared_Lowspeed,8,2034,47.055,August
Andhra Pradesh,Motor Car,Others,Bus,9,2029,0.0,September
Maharashtra,Trailer (Agricultural),2-Wheelers,3W_Goods_Lowspeed,2,2029,28.09166666666667,February
Punjab,E-Rickshaw With Cart (G),Others,Institution Bus,5,2033,0.0,May
Jammu And Kashmir,M-Cycle/Scooter,3-Wheelers,2W_Personal,5,2026,184.58,May
Himachal Pradesh,Earth Moving Equipment,Others,3W_Shared_Lowspeed,4,2029,46.3,April
Odisha,Quadricycle (Private),2-Wheelers,Bus,2,2035,28.75,February
Dnh And Dd,Harvester,2-Wheelers,2W_Personal,6,2032,17.3,June
Chhattisgarh,Three Wheeler (Personal),2-Wheelers,3W_Goods_Lowspeed,8,2030,24.055,August
Uttarakhand,Motor Cab,Bus,Bus,1,2031,0.85,January
Bihar,Maxi Cab,Others,4W_Shared,9,2028,0.78,September
Punjab,Tow Truck,2-Wheelers,4W_Personal,10,2035,117.185,October
Puducherry,Trailer (Commercial),2-Wheelers,4W_Personal,8,2027,12.66,August
Uttarakhand,Motor Cab,2-Wheelers,4W_Shared,8,2026,137.115,August
Tamil Nadu,Tree Trimming Vehicle,Others,Others,12,2035,0.0,December
Goa,Motorised Cycle (Cc > 25Cc),2-Wheelers,3W_Shared_Lowspeed,1,2035,5.428333333333334,January
Mizoram,Dumper,Others,Others,1,2028,0.0,January
Andaman & Nicobar Island,Motor Car,2-Wheelers,2W_Shared,1,2032,0.0,January
Mizoram,E-Rickshaw With Cart (G),Bus,Institution Bus,1,2030,0.0,January
Uttar Pradesh,Snorked Ladders,3-Wheelers,3W_Goods,3,2032,99.00153571428572,March
Ladakh,Motor Car,Others,3W_Goods_Lowspeed,1,2027,12.7325,January
Meghalaya,Bus,Others,Bus,10,2034,1.41,October
Uttar Pradesh,Tower Wagon,Bus,4W_Personal,11,2033,454.275,November
Himachal Pradesh,Fire Tenders,3-Wheelers,Bus,2,2032,46.9,February
Himachal Pradesh,Auxiliary Trailer,4-Wheelers,4W_Personal,11,2025,13.355,November
Andaman & Nicobar Island,Private Service Vehicle,Others,4W_Shared,12,2033,0.465,December
Assam,Tractor-Trolley(Commercial),Others,3W_Shared_Lowspeed,6,2031,350.0125,June
Tripura,Tractor-Trolley(Commercial),3-Wheelers,3W_Goods,5,2027,4.315,May
Uttar Pradesh,Crane Mounted Vehicle,2-Wheelers,3W_Personal,5,2029,1351.0,May
Mizoram,Three Wheeler (Personal),3-Wheelers,3W_Shared_Lowspeed,8,2030,1.91,August
Odisha,Excavator (Nt),Bus,3W_Shared,3,2028,141.06708333333333,March
Goa,Quadricycle (Private),Others,3W_Shared_Lowspeed,1,2029,38.674,January
Rajasthan,Trailer For Personal Use,3-Wheelers,4W_Shared,2,2029,75.67283333333334,February
Chandigarh,Breakdown Van,Bus,Bus,2,2034,0.9,February
Haryana,Motor Car,Bus,2W_Shared,11,2025,89.25,November
Rajasthan,Omni Bus (Private Use),Bus,Others,8,2028,1.18,August
Goa,Omni Bus (Private Use),4-Wheelers,4W_Shared,1,2031,12.36,January
Manipur,Camper Van / Trailer (Private Use),2-Wheelers,3W_Shared_Lowspeed,3,2031,15.63,March
Chandigarh,Tractor (Commercial),4-Wheelers,3W_Shared_Lowspeed,1,2028,69.7087738095238,January
West Bengal,Mobile Canteen,2-Wheelers,Others,1,2033,53.2125,January
Puducherry,Adapted Vehicle,4-Wheelers,3W_Goods,11,2032,9.46,November
Himachal Pradesh,Motor Cycle/Scooter-Used For Hire,Bus,4W_Shared,12,2029,0.675,December
Uttar Pradesh,Quadricycle (Commercial),2-Wheelers,3W_Personal,12,2032,176.145,December
Sikkim,Agricultural Tractor,4-Wheelers,Others,11,2035,0.32,November
Chandigarh,Fire Fighting Vehicle,4-Wheelers,Institution Bus,1,2026,4.37,January
Tripura,Camper Van / Trailer,3-Wheelers,3W_Goods_Lowspeed,4,2031,135.53,April
Uttarakhand,Vehicle Fitted With Compressor,Bus,3W_Shared_Lowspeed,7,2026,167.79,July
Andhra Pradesh,Three Wheeler (Passenger),4-Wheelers,3W_Shared,2,2026,87.55166666666666,February
